1545071403,20.50,48.80
1545071463,20.50,49.70
1545071523,20.40,49.30
1545071583,20.50,49.40
1545071643,20.40,49.80
1545071703,20.40,49.20
1545071763,20.50,49.30
1545071823,20.40,49.70
1545071883,20.30,50.50
1545071943,20.30,51.40
1545072003,20.40,49.80
1545072063,20.40,50.10
1545072123,20.30,49.30
1545072183,20.40,49.20
1545072243,20.40,50.40
1545072303,20.40,49.80
1545072363,20.40,49.00
1545072423,20.30,49.20
1545072483,20.30,49.40
1545072543,20.40,49.20
1545072603,20.40,50.10
1545072663,20.40,49.20
1545072723,20.40,49.80
1545072783,20.40,49.90
1545072843,20.40,50.30
1545072932,20.50,49.50
1545072992,20.50,48.80
1545073052,20.50,49.40
1545073112,20.40,49.20
1545073172,20.40,49.90
1545073232,20.50,50.10
1545073292,20.50,49.00
1545073352,20.50,49.00

